Word	Length	LgSUBTLWF	Ortho_N	OLD	BG_Sum	NPhon	NSyll	RT	Obs	ACC	dominance	signTest	biggest	Twilleyp1	Twilleyp2	Twilleyp3	U
mint	4	2.444	12	1.4	11285.00	4	1	607.667	33	1	0.521693118	0.764705882	69.88235294	0.25	0.05		0.54
nag	3	2.049	14	1.25	2211.00	3	1	708.147	34	1	0.884699867	1	91.53333333	0.16	0.04		0.26
nap	3	2.81	15	1.1	2300.00	3	1	604.118	34	1	0.9349016	1	94.6	0.67	0.01		0.05
net	3	2.9	14	1.05	3629.00	3	1	596.355	31	0.97	0.57086725	0.8125	73.4375	0.33	0.04		0.6
novel	5	2.711	2	1.8	4975.00	4	2	657.088	34	1	0.610680467	1	76.13333333	0.66	0.06		0.45
pack	4	3.35	16	1.15	3504.00	3	1	593.303	33	1	0.741469353	0.941176471	84.05882353	0.1	0.06	0.02	1.01
pad	3	2.619	18	1	2149.00	3	1	609.563	32	0.94	0.703317118	1	79.11764706	0.34	0.04	0.04	1.33
page	4	3.282	11	1.35	3093.00	3	1	627.719	32	0.97	0.792494688	0.9375	85.875	0.17	0.03		0.6
palm	4	2.83	5	1.55	4267.00	4	1	617.903	31	0.94	0.469849941	1	68.52941176	0.42	0.16		0.89
pat	3	2.97	22	1	5279.00	3	1	634.781	32	0.97	0.841738	1	90	0.09	0.02	0.01	0.86
pawn	4	2.346	6	1.5	1489.00	3	1	657.212	33	0.97	0.270795385	0.769230769	60	0.15	0.29		0.98
peer	4	1.898	12	1.2	8695.00	3	1	638.438	32	0.94	0.465811923	0.923076923	69.23076923	0.31	0.12		0.78
pen	3	3.101	19	1	5479.00	3	1	610.882	34	1	0.652280333	1	78.13333333	0.43	0.02		0.24
pet	3	3.013	21	1	3017.00	3	1	616.529	34	1	0.900898056	1	92.77777778	0.53	0.01		0.12
pile	4	2.828	14	1.15	5669.00	3	1	576.839	31	0.94	0.757669	0.941176471	78.64705882	0.13	0.02	0.01	0.34
pipe	4	2.996	6	1.45	3010.00	3	1	671.485	33	0.97	0.794753056	1	88.33333333	0.32	0.06	0.03	1.31
pit	3	2.829	16	1	2998.00	3	1	606.909	33	1	0.612861267	0.733333333	75	0.15	0.06		0.73
pitch	5	2.899	7	1.55	4754.00	3	1	614.176	34	1	0.850500947	1	88.15789474	0.23	0.02	0.02	0.92
pitcher	7	2.22	2	1.85	12665.00	4	2	597.941	34	1	0.320728412	0.647058824	62.64705882	0.16	0.24		1
plane	5	3.688	5	1.4	8554.00	4	1	643.939	33	0.97	0.770883647	0.882352941	83.47058824	0.27	0.02		0.39
plot	4	2.772	7	1.45	3151.00	4	1	623.206	34	1	0.520722067	0.8	68	0.21	0.06	0.1	1.78
poker	5	2.914	5	1.65	8364.00	4	2	636.563	32	0.94	0.549681882	0.294117647	73.52941176	0.23	0.04		0.44
pool	4	3.38	9	1.45	3299.00	3	1	581.061	33	1	0.399473333	0.833333333	64.5	0.32	0.08	0.01	0.89
port	4	2.87	12	1.25	4832.00	4	1	647.182	33	0.97	0.363727688	0.8125	47.5	0.15	0.04	0.02	1.03
post	4	3.219	12	1.25	5485.00	4	1	612.273	33	0.97	0.179748813	0.5625	42.875	0.34	0.04	0.01	1.17
pot	3	3.061	17	1	1980.00	3	1	535.794	34	1	0.332199714	0.714285714	62.14285714	0.17	0.06		0.76
pound	5	2.851	7	1.55	6368.00	4	1	591.03	33	0.97	0.328393765	0.235294118	50.52941176	0.11	0.06	0.13	1.7
present	7	3.659	1	1.8	19240.00	6	2	654.125	32	0.97	0.077380929	0.857142857	52.85714286	0.3	0.1	0.04	1.54
press	5	3.487	2	1.9	11946.00	4	1	570.059	34	1	0.896636647	1	91.41176471	0.1	0.06	0.12	1.48
prune	5	1.881	2	1.75	6139.00	4	1	709.333	33	0.97	0.443560267	0.933333333	68	0.2	0.02		0.21
pump	4	2.81	10	1.35	1904.00	4	1	610.364	33	0.97	0.710876	1	81.875	0.25			0
punch	5	3.18	5	1.65	5167.00	4	1	655.969	32	0.94	0.4373358	0.733333333	57.66666667	0.17	0.07	0.03	0.98
pupil	5	2.207	1	2.1	3054.00	5	2	626.97	33	0.97	0.509831133	0.266666667	69.93333333	0.49	0.29		0.91
quack	5	2.375	2	1.85	3385.00	4	1	692.323	31	0.91	0.566277375	0.6875	75.0625	0.69	0.14		0.8
race	4	3.499	14	1	6206.00	3	1	564.182	33	1	0.122548941	0.882352941	54.11764706	0.24	0.02		0.26
rake	4	2.185	16	1.05	4339.00	3	1	612.862	29	0.91	0.7717622	1	84.15	0.5			0
rank	4	2.638	12	1.1	6879.00	4	1	623.242	33	1	0.595720316	1	74.84210526	0.13	0.05		0.57
rap	3	2.824	19	1	3983.00	3	1	705.424	33	1	0.747123	0.0625	80.3125	0.49	0.03		0.47
rare	4	3.037	16	1.1	10617.00	3	1	566.97	33	0.97	0.449431263	1	67.36842105	0.04	0.16		0.99
rash	4	2.614	11	1.25	5857.00	3	1	662.091	33	0.97	0.363122944	0.555555556	62.5	0.26	0.02		0.35
rear	4	2.803	16	1.1	9322.00	3	1	647.853	34	1	0.505162188	1	70	0.32	0.02	0.01	0.26
reel	4	2.223	8	1.35	7146.00	3	1	627.063	32	0.91	0.777058882	0.882352941	82.11764706	0.3	0.05	0.01	0.82
refrain	7	2.021	0	2.6	16291.00	6	2	640.6	35	1	0.410437667	1	66.66666667	0.37	0.07		0.75
refuse	6	3.03	3	1.7	8897.00	6	2	627.515	33	0.97	0.662396188	1	78.75	0.24	0.14		0.75
rent	4	3.246	15	1.2	11376.00	4	1	607.906	32	0.97	0.887482526	1	90	0.15			0
rib	3	2.48	11	1.35	3268.00	3	1	621.912	34	1	0.9055556	1	92.33333333	0.13	0.01	0.01	0.23
ring	4	3.675	10	1.3	13688.00	3	1	545.333	33	1	0.135531067	0.933333333	54.33333333	0.14	0.11		0.91
rock	4	3.643	12	1.2	3734.00	3	1	543.879	33	1	0.142085895	0.842105263	54.47368421	0.28	0.08	0.01	1.1
root	4	2.728	12	1.2	3974.00	3	1	634.371	35	1	0.389223053	0.526315789	57.15789474	0.31	0.02	0.02	0.65
rose	4	3.432	18	1	5019.00	3	1	594.152	33	1	0.312111278	0.944444444	62.5	0.3	0.01	0.01	0.31
row	3	3.128	17	1	2829.00	2	1	641.667	33	1	0.294290941	0.823529412	55.52941176	0.55	0.09	0.02	0.98
rubber	6	2.854	3	1.8	8236.00	4	2	662.588	34	1	0.956178067	1	96.33333333	0.24	0.15		0.61
rung	4	1.857	9	1.45	6439.00	3	1	760.769	26	0.76	0.628917333	0.8	76.33333333	0.42	0.09	0.04	1.47
sack	4	2.82	13	1	3142.00	3	1	677.469	32	0.97	0.595559167	1	72.22222222	0.26	0.05	0.02	0.8
sage	4	1.954	14	1.05	2731.00	3	1	659.03	33	1	0.4975494	0.533333333	70.66666667	0.3	0.04		0.58
sap	3	2.253	21	1	1609.00	3	1	756.308	26	0.81	0.675841467	1	79.13333333	0.68	0.02	0.01	0.46
sash	4	1.771	10	1.25	3483.00	3	1	731.182	22	0.67	0.780357357	0.928571429	84.42857143	0.18	0.03		0.27
scale	5	2.687	6	1.55	9160.00	4	1	576.879	33	0.97	0.523865	0	63.0625	0.45	0.03	0.01	1.02
scrap	5	2.35	3	1.7	5656.00	5	1	624.515	33	0.97	0.366522313	0.9375	65.3125	0.22	0.13		0.61
scrub	5	2.504	1	1.95	2714.00	5	1	614.647	34	1	0.470072765	0.882352941	68.82352941	0.21	0.02	0.01	0.19
seal	4	2.877	15	1.1	6910.00	3	1	599.727	33	0.97	0.392951526	0.789473684	64.21052632	0.08	0.08		0.99
shed	4	2.749	6	1.5	7529.00	3	1	628.813	32	0.97	0.31688995	0.9	62	0.08	0.1		0.99
shower	6	3.322	2	1.8	9821.00	3	1	653.455	33	0.97	0.8921132	1	91.06666667	0.14	0.01	0.01	0.23
sling	5	2.072	8	1.5	13992.00	4	1	744.069	29	0.88	0.928796385	1	94.23076923	0.38	0.19	0.01	1.11
slip	4	3.121	11	1.3	3704.00	4	1	542.758	33	1	0.75943925	1	82.8125	0.32	0.07	0.03	1.09
slug	4	2.405	7	1.5	1328.00	4	1	633.469	32	0.97	0.521219	0.8125	71.5625	0.08	0.08	0.05	1.22
smack	5	2.687	5	1.6	4612.00	4	1	581.667	33	0.97	0.626810176	0.058823529	73.47058824	0.33	0.14	0.01	1.03
smelt	5	1.724	1	1.85	4372.00	5	1	724.586	29	0.88	0.623479357	0.214285714	73.64285714	0.08	0.04	0.14	1.56
sock	4	2.662	13	1.15	2373.00	3	1	564.441	34	1	0.555422214	0.928571429	72.5	0.34	0.01		0.22
sole	4	2.43	11	1.3	5496.00	3	1	616.788	33	0.94	0.466655611	0.444444444	66.94444444	0.41	0.17	0.03	1.22
sow	3	1.996	17	1	1468.00	2	1	734.1	30	0.94	0.699473077	0.692307692	80	0.35	0.09		0.97
spade	5	2.076	4	1.75	5579.00	4	1	657.594	32	0.97	0.594246188	0.4375	74.375	0.34	0.09		0.87
spell	5	3.272	4	1.7	5843.00	4	1	564.606	33	1	0.337768556	0.888888889	53.16666667	0.11	0.08		0.65
spray	5	2.693	2	1.7	5706.00	4	1	679.412	34	1	0.949074083	1	95.83333333	0.17			0
squash	6	2.35	0	1.9	3821.00	5	1	600.515	33	0.97	0.455676267	0.933333333	68	0.13	0.06	0.06	1.36
stable	6	2.829	2	1.65	11044.00	5	2	608.424	33	0.97	0.419950267	0.933333333	66.53333333	0.41	0.05		0.87
staff	5	3.213	2	1.85	6077.00	4	1	518.212	33	0.97	0.856516313	1	88.75	0.1	0.03		0.52
stake	5	2.928	10	1.3	6671.00	4	1	650.219	32	1	0.413139389	0.722222222	66.11111111	0.08	0.05	0.08	1.04
stalk	5	1.94	5	1.7	8612.00	4	1	645.667	33	1	0.513255278	0.333333333	69.16666667	0.09	0.1		0.88
stall	5	2.661	5	1.65	10123.00	4	1	643.813	32	0.94	0.276653053	0.631578947	59.57894737	0.26	0.16	0.07	1.32
staple	6	1.763	1	1.8	10508.00	5	2	573.941	34	0.97	0.5897165	0.9375	75	0.25	0.07		0.53
steep	5	2.1	6	1.6	9504.00	4	1	669.633	30	0.94	0.838724375	1	88.4375	0.45	0.01		0.05
steer	5	2.486	5	1.65	14992.00	4	1	669.125	32	0.97	0.805986375	0.875	85.625	0.21	0.11		0.99
stern	5	2.516	1	1.9	14595.00	4	1	651.724	29	0.94	0.517031412	1	70.17647059	0.15	0.1		0.77
stick	5	3.695	6	1.5	11576.00	4	1	606.152	33	1	0.201768188	1	57.8125	0.14	0.01	0.03	0.68
stir	4	2.48	1	1.8	9151.00	3	1	675.824	34	0.97	0.943689647	1	95.05882353	0.2	0.02		0.23
stole	5	3.433	6	1.6	9645.00	4	1	658.406	32	0.94	0.9104155	0.9375	93.4375	0.09	0.07		0.6
strain	6	2.559	2	1.75	16177.00	5	1	712.455	33	1	0.709791778	0.944444444	80.55555556	0.07	0.04	0.01	0.99
strand	6	1.978	0	1.9	13608.00	6	1	695.091	33	0.94	0.3584656	0.666666667	64.66666667	0.58	0.04		0.58
strip	5	2.904	1	1.8	8653.00	5	1	773.879	33	0.94	0.301549316	0.947368421	60.52631579	0.13	0.03		0.55
stud	4	2.55	4	1.7	4661.00	4	1	626.452	31	0.94	0.515253765	0.235294118	70	0.16	0.04	0.03	0.84
swallow	7	2.813	1	2.1	7696.00	5	2	703.25	32	0.97	0.700039	1	80	0.09	0.21		0.81
tag	3	2.851	18	1	2661.00	3	1	564.152	33	1	0.3913065	0.571428571	65.35714286	0.05	0.16		1
tap	3	2.877	19	1	2750.00	3	1	597.879	33	1	0.383382938	0.875	62.5	0.22	0.25	0.02	1.19
tart	4	2.09	12	1.2	5845.00	4	1	663.656	32	0.94	0.435222813	0.8125	65.9375	0.09	0.14	0.03	1.31
tear	4	3.139	16	1	9175.00	3	1	580.969	32	0.97	0.282212941	0.529411765	60.88235294	0.3	0.12		0.93
temple	6	2.952	0	1.95	10477.00	5	2	651.258	31	0.97	0.454944625	0.875	65.5	0.16	0.18		0.92
tend	4	2.797	9	1.3	9973.00	4	1	651.706	34	0.97	0.311327533	0.933333333	61.33333333	0.1	0.02		0.67
tender	6	2.657	7	1.65	18736.00	5	2	664.333	33	0.94	0.338217235	0.88235941	53.94117647	0.13	0.06		0.45
tick	4	2.569	10	1.25	8011.00	3	1	750.606	33	0.97	0.545041056	0.777777778	69.55555556	0.13	0.29	0.02	1.22
tip	3	3.149	16	1.1	5303.00	3	1	615.788	33	0.97	0.260863125	0.3125	46.5625	0.17	0.12	0.05	1.7
tire	4	2.801	11	1.25	10128.00	3	1	591.344	32	0.94	0.310253875	0.5625	61.5625	0.25	0.01		0.31
toast	5	3.233	3	1.85	6803.00	4	1	600.882	34	1	0.313303444	0.888888889	61.11111111	0.33	0.03		0.45
toll	4	2.236	12	1.25	4281.00	3	1	666.724	29	0.85	0.687079632	0.105263158	79.73684211	0.27	0.03	0.01	0.26
trace	5	2.996	6	1.45	7894.00	4	1	603.879	33	1	0.924532471	1	93.94117647	0.14	0.04	0.02	1.16
vault	5	2.789	1	1.9	2351.00	4	1	641.581	31	0.94	0.600051053	0.526315789	73.42105263	0.38	0.07		0.77
vice	4	2.978	8	1.35	4701.00	3	1	671.242	33	0.97	0.756594714	0.928571429	85	0.15	0.21	0.14	1.9
wax	3	2.665	9	1.45	758.00	4	1	638.152	33	0.97	0.705070733	0.933333333	80.26666667	0.17	0.01		0.05
wind	4	3.481	12	1.25	9125.00	4	1	559.156	32	1	0.461327533	0.933333333	69	0.17	0.02		0.42
wound	5	3.132	8	1.55	5631.00	4	1	575.941	34	1	0.614949722	0.888888889	76	0.29	0.07		0.71
yard	4	3.107	6	1.65	3707.00	4	1	623.469	32	1	0.240299684	0.684210526	58.47368421	0.14	0.15		0.9
