word,human.type.biggest,human.type.p1,human.type.p2,human.type.p3,human.type.p4,human.type.p5,human.type.pUnseen,human.token.biggest,human.token.p1,human.token.p2,human.token.p3,human.token.p4,human.token.p5,human.token.pUnseen,algo.type.biggest,algo.type.p1,algo.type.p2,algo.type.p3,algo.type.p4,algo.type.p5,algo.type.pUnseen,algo.token.biggest,algo.token.p1,algo.token.p2,algo.token.p3,algo.token.p4,algo.token.p5,algo.token.pUnseen
stake,64,64,17,0,0,0,17,87,87,6,0,0,0,5,47,47,35,0,0,0,0,56,56,25,0,0,0,0
bus,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
stud,80,19,80,0,0,0,0,89,10,89,0,0,0,0,57,42,57,0,0,0,0,68,31,68,0,0,0,0
sock,75,75,25,0,0,0,0,92,92,7,0,0,0,0,50,50,37,0,0,0,0,88,88,10,0,0,0,0
fell,94,94,0,0,0,0,5,98,98,0,0,0,0,1,38,38,38,0,11,0,0,45,45,29,0,4,0,0
bear,89,10,89,0,0,0,0,95,4,95,0,0,0,0,64,32,64,0,0,0,0,74,24,74,0,0,0,0
chase,71,71,0,0,0,0,28,86,86,0,0,0,0,13,85,85,0,14,0,0,0,96,96,0,3,0,0,0
freak,100,100,0,0,0,0,0,100,100,0,0,0,0,0,82,82,11,0,0,0,0,73,73,3,0,0,0,0
hamper,56,43,56,0,0,0,0,82,17,82,0,0,0,0,50,37,50,0,0,0,0,80,14,80,0,0,0,0
calf,71,71,28,0,0,0,0,81,81,18,0,0,0,0,71,71,28,0,0,0,0,81,81,18,0,0,0,0
cocktail,100,100,0,0,0,0,0,100,100,0,0,0,0,0,84,84,15,0,0,0,0,95,95,4,0,0,0,0
peer,50,50,8,0,0,0,41,79,79,11,0,0,0,9,75,75,25,0,0,0,0,63,63,36,0,0,0,0
relief,94,94,0,0,0,0,5,87,87,0,0,0,0,12,77,77,0,0,0,0,0,80,80,0,0,0,0,0
wise,100,100,0,0,0,0,0,100,100,0,0,0,0,0,90,90,0,0,0,0,0,98,98,0,0,0,0,0
spell,85,85,9,4,0,0,0,82,82,12,4,0,0,0,76,76,14,0,0,0,0,78,78,17,0,0,0,0
steer,53,53,46,0,0,0,0,61,61,38,0,0,0,0,53,53,46,0,0,0,0,61,61,38,0,0,0,0
capital,100,100,0,0,0,0,0,100,100,0,0,0,0,0,80,80,0,0,0,0,0,94,94,0,0,0,0,0
file,93,93,6,0,0,0,0,82,82,17,0,0,0,0,93,93,6,0,0,0,0,82,82,17,0,0,0,0
spill,100,100,0,0,0,0,0,100,100,0,0,0,0,0,75,75,18,0,0,0,0,93,93,5,0,0,0,0
beaver,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
bolt,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
blow,86,13,86,0,0,0,0,92,7,92,0,0,0,0,82,8,82,0,0,0,0,83,4,83,0,0,0,0
bank,100,0,100,0,0,0,0,100,0,100,0,0,0,0,83,16,83,0,0,0,0,98,1,98,0,0,0,0
hip,94,94,0,0,0,0,5,98,98,0,0,0,0,1,66,66,5,16,0,0,0,80,80,2,14,0,0,0
cube,90,90,0,0,0,0,9,98,98,0,0,0,0,1,81,81,9,0,0,0,0,94,94,1,0,0,0,0
stir,100,100,0,0,0,0,0,100,100,0,0,0,0,0,92,92,0,0,0,0,0,98,98,0,0,0,0,0
span,100,100,0,0,0,0,0,100,100,0,0,0,0,0,91,91,8,0,0,0,0,95,95,4,0,0,0,0
pupil,75,75,25,0,0,0,0,82,82,17,0,0,0,0,75,75,25,0,0,0,0,82,82,17,0,0,0,0
blaze,66,66,33,0,0,0,0,96,96,3,0,0,0,0,66,66,33,0,0,0,0,96,96,3,0,0,0,0
skate,92,92,7,0,0,0,0,96,96,3,0,0,0,0,78,78,14,0,0,0,0,64,64,32,0,0,0,0
stern,80,80,20,0,0,0,0,86,86,13,0,0,0,0,86,13,86,0,0,0,0,87,12,87,0,0,0,0
scarf,100,100,0,0,0,0,0,100,100,0,0,0,0,0,82,82,17,0,0,0,0,81,81,18,0,0,0,0
row,66,66,22,11,0,0,0,84,13,84,1,0,0,0,77,77,11,0,0,0,0,81,15,81,0,0,0,0
port,75,75,10,5,5,0,5,82,82,6,2,8,0,2,40,40,40,10,5,0,0,70,16,70,4,8,0,0
cricket,85,85,14,0,0,0,0,89,89,10,0,0,0,0,57,57,28,0,0,0,0,68,68,14,0,0,0,0
seal,76,24,76,0,0,0,0,64,35,64,0,0,0,0,68,32,68,0,0,0,0,56,43,56,0,0,0,0
coma,76,76,0,0,0,0,23,92,92,0,0,0,0,7,84,84,7,0,0,0,0,94,94,2,0,0,0,0
peel,100,100,0,0,0,0,0,100,100,0,0,0,0,0,60,60,20,0,0,0,0,88,88,8,0,0,0,0
lime,72,27,72,0,0,0,0,92,7,92,0,0,0,0,72,27,72,0,0,0,0,92,7,92,0,0,0,0
pop,73,73,6,20,0,0,0,74,74,8,16,0,0,0,66,66,6,20,0,0,0,73,73,8,16,0,0,0
rail,100,100,0,0,0,0,0,100,100,0,0,0,0,0,85,85,0,7,0,0,0,93,93,0,4,0,0,0
meal,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
opera,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
pile,95,95,5,0,0,0,0,96,96,3,0,0,0,0,40,40,25,25,0,0,0,52,52,15,23,0,0,0
firm,75,75,25,0,0,0,0,76,76,23,0,0,0,0,75,75,25,0,0,0,0,76,76,23,0,0,0,0
shark,100,100,0,0,0,0,0,100,100,0,0,0,0,0,70,70,30,0,0,0,0,80,80,20,0,0,0,0
bull,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
smelt,43,43,6,37,0,0,6,32,32,31,32,0,0,2,43,43,6,43,0,0,0,34,32,31,34,0,0,0
host,100,100,0,0,0,0,0,100,100,0,0,0,0,0,60,60,40,0,0,0,0,64,64,35,0,0,0,0
halt,100,100,0,0,0,0,0,100,100,0,0,0,0,0,50,50,50,0,0,0,0,94,94,5,0,0,0,0
entrance,100,100,0,0,0,0,0,100,100,0,0,0,0,0,87,87,0,0,0,0,0,96,96,0,0,0,0,0
novel,85,85,14,0,0,0,0,93,93,6,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
card,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
spank,100,100,0,0,0,0,0,100,100,0,0,0,0,0,94,94,0,0,0,0,0,98,98,0,0,0,0,0
fan,58,58,41,0,0,0,0,88,88,11,0,0,0,0,94,94,5,0,0,0,0,98,98,1,0,0,0,0
paste,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
knot,100,100,0,0,0,0,0,100,100,0,0,0,0,0,87,87,0,0,0,0,0,95,95,0,0,0,0,0
vault,61,61,38,0,0,0,0,81,81,18,0,0,0,0,69,30,69,0,0,0,0,52,52,47,0,0,0,0
flag,100,100,0,0,0,0,0,100,100,0,0,0,0,0,83,83,16,0,0,0,0,95,95,4,0,0,0,0
jerk,100,100,0,0,0,0,0,100,100,0,0,0,0,0,77,77,13,0,0,0,0,81,81,5,0,0,0,0
bush,73,73,0,0,0,0,26,86,86,0,0,0,0,13,80,80,6,0,0,0,0,88,88,1,0,0,0,0
rap,83,16,0,83,0,0,0,94,5,0,94,0,0,0,66,33,0,66,0,0,0,77,22,0,77,0,0,0
pot,80,80,20,0,0,0,0,80,80,19,0,0,0,0,86,86,13,0,0,0,0,89,89,10,0,0,0,0
present,50,50,50,0,0,0,0,53,46,53,0,0,0,0,50,33,50,0,0,0,0,53,31,53,0,0,0,0
pad,100,100,0,0,0,0,0,100,100,0,0,0,0,0,76,76,23,0,0,0,0,87,87,12,0,0,0,0
pink,95,95,0,0,0,0,4,92,92,0,0,0,0,7,78,78,17,0,0,0,0,86,86,6,0,0,0,0
weed,100,100,0,0,0,0,0,100,100,0,0,0,0,0,85,85,0,0,0,0,0,92,92,0,0,0,0,0
fudge,100,100,0,0,0,0,0,100,100,0,0,0,0,0,81,81,18,0,0,0,0,93,93,6,0,0,0,0
page,90,90,10,0,0,0,0,95,95,4,0,0,0,0,50,50,50,0,0,0,0,80,80,20,0,0,0,0
