"","NumInterp","verbInterp","nounInterp","coltN","OLD","nPhon","nSyll","Length","LgSUBTLWF","Ortho_N","BG_Sum","NumMeanings","NumSenses","eDom_Biggest","algorithm.FAN_Biggest","human.FAN_Biggest","algorithm.SUBTL_Biggest","Wikipedia_Biggest"
"74",11,3,6,9,1.4,4,1,4,2.548,7,4912,2,9,71,98,91,87,99
"75",5,3,4,6,1.4,5,1,5,2.158,4,5729,2,9,66,75,96,79,83
"76",17,9,5,5,1.65,4,1,5,3.165,5,6653,2,15,96,100,100,98,100
"77",3,1,3,0,1.9,6,2,7,2.161,0,9156,2,4,68,68,89,80,99
"78",7,2,4,9,1.3,4,1,4,2.185,5,1892,2,6,96,94,98,90,99
"79",5,3,4,17,1,3,1,3,2.6,8,1060,2,7,67,73,52,71,53
"80",4,2,3,12,1.25,3,1,4,2.465,4,1185,2,5,86,60,98,87,83
"81",4,2,3,35,1,3,1,3,2.468,13,1479,2,5,89,76,96,80,96
"82",4,2,2,21,1,4,1,4,2.258,14,9435,2,4,95,94,98,95,100
"83",4,3,4,0,1.85,5,2,6,3.155,0,16286,3,9,59,96,96,49,85
"84",6,3,4,10,1.3,4,2,4,2.895,4,4484,2,7,92,93,98,88,96
"85",12,7,6,16,1.05,3,1,4,2.697,11,2179,4,13,78,98,100,68,95
"86",5,1,4,20,1,3,1,4,2.455,13,3030,2,5,67,97,82,87,97
"87",5,0,3,3,1.75,6,2,7,2.263,3,19191,2,3,80,90,100,75,94
"88",9,10,8,7,1.5,4,1,5,2.846,2,6319,3,18,85,94,100,83,99
"89",3,3,2,6,1.5,4,1,5,3.168,5,4981,2,5,83,90,87,89,93
"90",8,6,6,18,1,3,1,4,3.102,11,1745,3,12,59,92,97,76,60
"91",5,1,5,22,1,2,1,3,3.213,11,4780,2,6,81,51,100,83,88
"92",5,1,4,3,1.65,2,1,3,3.124,1,673,2,5,85,83,100,91,100
"93",5,1,3,0,2.5,7,2,8,2.904,0,18145,2,4,83,96,100,90,100
"94",17,0,2,7,1.2,3,1,4,3.684,5,2156,2,10,70,81,71,69,54
"95",7,5,3,31,1,3,1,3,3.254,14,3911,2,8,56,98,88,82,98
"96",7,4,1,21,1,3,1,4,3.571,13,3922,4,7,82,45,98,59,79
"97",9,5,4,23,1,3,1,4,3.352,14,5648,2,9,64,82,82,91,99
"98",15,2,1,5,1.6,3,1,4,3.255,4,2192,2,8,58,76,76,59,96
"99",16,6,3,27,1,3,1,3,3.468,14,2977,2,11,69,95,95,93,99
"100",12,5,3,14,1.1,4,1,4,2.951,9,3276,4,8,83,95,100,72,99
"101",26,0,6,17,1,4,1,4,3.127,11,6673,2,17,77,80,90,86,97
"102",7,4,3,4,1.65,4,1,5,2.733,2,6113,2,8,79,95,87,61,99
"103",12,0,7,5,1.55,4,1,6,3.484,5,4850,2,7,83,100,93,92,100
"104",16,7,3,7,1.5,4,1,4,2.863,6,3747,3,12,81,76,97,88,100
"105",18,8,6,5,1.65,4,1,5,2.68,5,3817,4,20,59,86,96,51,79
"106",20,9,6,11,1.25,3,1,3,3.637,4,2017,2,15,59,69,75,87,88
"107",8,3,7,11,1.3,3,1,4,1.799,9,2372,3,10,71,93,94,63,47
"108",13,13,7,14,1.1,4,1,4,2.644,11,2217,2,20,88,98,100,85,94
"109",5,0,1,4,1.7,4,1,5,1.914,3,5839,2,5,92,62,100,82,93
"110",3,2,3,4,1.7,4,1,5,3.273,3,7066,2,6,97,73,100,85,100
"111",4,0,5,9,1.35,4,1,4,2.781,2,3027,2,5,98,80,94,83,98
